"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.13416500371879e-76,2.1345914350373,0.489,0.125,5.66959388609994e-72,"1","LY86"
8.64389031468646e-76,1.16803348099367,0.874,0.537,1.1854231177561e-71,"1","SRGN"
3.25243089198306e-75,1.15807230786598,0.923,0.774,4.46038372526557e-71,"1","VIM"
1.79074108128204e-74,2.90869434194265,0.36,0.067,2.45582231887019e-70,"1","KLF4"
2.73075309331807e-73,2.09317886541888,0.652,0.267,3.7449547921764e-69,"1","ATP6V0B"
2.58778765102986e-72,2.52767142583149,0.412,0.095,3.54889198462235e-68,"1","AGTRAP"
9.98578059971647e-72,0.942088387746856,0.944,0.789,1.36944995144512e-67,"1","ARPC3"
2.76821863858961e-70,2.834129987802,0.387,0.085,3.79633504096179e-66,"1","CCL3"
6.27310402684299e-70,2.70087929266719,0.46,0.124,8.60293486241247e-66,"1","BLVRA"
4.16621921143741e-69,3.01337306166978,0.321,0.056,5.71355302656527e-65,"1","C19orf38"
9.84074257514183e-69,2.74791738853858,0.329,0.058,1.34955943675495e-64,"1","MSRB1"
1.29062101447493e-68,3.77333303195722,0.271,0.036,1.76995765925092e-64,"1","IL1B"
3.31450947908765e-68,1.04649039654233,0.832,0.376,4.5455182996208e-64,"1","HLA-DRB1"
5.69303589783242e-68,0.95201729826426,0.934,0.798,7.80742943028739e-64,"1","ATP5G2"
6.36984696982233e-68,2.5589456965011,0.335,0.063,8.73560813441434e-64,"1","CTSZ"
8.61270391767968e-67,1.77618303647659,0.505,0.151,1.18114621527059e-62,"1","FGR"
2.55714911167422e-66,1.30104065109369,0.845,0.596,3.50687429175003e-62,"1","S100A10"
7.07838705122619e-65,2.29539805006739,0.571,0.215,9.7073000020516e-61,"1","LINC00936"
2.58209906431557e-63,2.0473311945685,0.398,0.095,3.54109065680238e-59,"1","HCK"
3.53360307528602e-63,1.50146309191967,0.749,0.407,4.84598325744724e-59,"1","PRELID1"
8.25070685463263e-62,3.00007888763066,0.35,0.076,1.13150193804432e-57,"1","FGL2"
2.39426704683719e-61,1.92605122196007,0.52,0.18,3.28349782803252e-57,"1","CTSD"
2.7452632401845e-61,2.79315388340293,0.317,0.062,3.76485400758903e-57,"1","MPEG1"
8.8208184114984e-61,2.64500336696457,0.331,0.07,1.20968703695289e-56,"1","PGD"
